epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3373,1.81818,2.63631,1.91688,0.00556,1,0.47029,0.21156,1.49095,3.08422,1.80581,6e-05,6e-05,6e-05
2,35.6989,1.63235,2.50401,1.78455,0.00556,1,0.83944,0.51806,0.97621,3.0344,1.49945,0.000137228,0.000137228,0.000137228
3,52.456,1.47587,2.27072,1.64436,0.00556,1,0.635,0.3941,0.97643,2.8664,1.46584,0.000211288,0.000211288,0.000211288
4,70.6111,1.45902,1.8384,1.64578,1,0.45635,0.92833,0.49279,1.19988,2.46867,1.52991,0.00028218,0.00028218,0.00028218
5,87.5718,1.35863,1.64367,1.5873,0.70226,0.48542,0.76167,0.518,0.87554,2.35599,1.30737,0.000349904,0.000349904,0.000349904
6,104.894,1.35435,1.60065,1.58774,0.21885,1,0.7575,0.54555,0.86385,2.49748,1.30854,0.00041446,0.00041446,0.00041446
7,122.254,1.38142,1.52519,1.53795,0.50011,0.80041,0.7704,0.47995,0.92854,2.41917,1.37205,0.000475848,0.000475848,0.000475848
8,139.483,1.24295,1.49262,1.45822,0.73948,0.57475,0.79833,0.60679,1.13176,2.06944,1.54342,0.000534068,0.000534068,0.000534068
9,157.335,1.31286,1.41719,1.51823,0.75613,0.8,0.86611,0.56672,1.31049,2.05851,1.80186,0.00058912,0.00058912,0.00058912
10,174.319,1.24995,1.35801,1.46673,0.73298,0.4,0.7704,0.33721,1.53335,2.39029,2.00014,0.000641004,0.000641004,0.000641004
11,191.953,1.27951,1.3426,1.49201,0.5848,0.8,0.74711,0.2472,1.62342,2.44766,1.95673,0.00068972,0.00068972,0.00068972
12,209.029,1.22866,1.2274,1.43394,0.76647,0.6,0.82833,0.21788,1.82281,2.43997,2.12995,0.000735268,0.000735268,0.000735268
13,226.183,1.27365,1.32353,1.42061,0.70798,0.6,0.64154,0.296,1.72847,2.27608,1.96706,0.000777648,0.000777648,0.000777648
